Source,Target,Type,Id,Label,timeset,Weight
@003a04f8c2054b7,@OpenSociety,Directed,40707,,,1
@007darB,@Disney,Directed,2980,,,1
@007darB,@FoxNews,Directed,12460,,,1
@007darB,@JoeNBC,Directed,2978,,,1
@007darB,@Maryruthless66,Directed,60361,,,1
@007darB,@MSNBC,Directed,5129,,,1
@007darB,@toddstarnes,Directed,60362,,,1
@007nancyb,@Lrihendry,Directed,39050,,,1
@00evidence,@amjoyshow,Directed,8608,,,1
@00evidence,@JoyAnnReid,Directed,8609,,,1
@00evidence,@KFILE,Directed,8606,,,1
@00evidence,@Steel94010,Directed,8605,,,1
@010644franceJen,@Disney,Directed,41350,,,1
@010644franceJen,@glenda_pollock,Directed,41348,,,1
@010644franceJen,@MichaelSkolnik,Directed,41347,,,1
@010644franceJen,@RavenclawHk,Directed,41346,,,1
@010644franceJen,@starshine731,Directed,41345,,,1
@01splcheck,@diamondandsilk,Directed,41152,,,1
@01splcheck,@GregGutfeldShow,Directed,41151,,,1
@01towin,@rolandsmartin,Directed,11572,,,1
@01towin,@RoseanneOnABC,Directed,11573,,,1
@0862KeishaMarie,@67jewelCDH,Directed,889,,,1
@09072021,@JacksonJE2,Directed,39820,,,1
@09072021,@JamseSr,Directed,39821,,,1
@09072021,@LilMadBenMax,Directed,39822,,,1
@0htheguilt,@bigirv2112,Directed,47951,,,1
@0htheguilt,@cat_blueyes_44,Directed,47949,,,1
@0htheguilt,@CB09,Directed,47952,,,1
@0htheguilt,@yinzerbinch,Directed,47950,,,1
@0neMans0p1n1on,@IngrahamAngle,Directed,47781,,,1
@0neMans0p1n1on,@NavVetUSA,Directed,47782,,,1
@0uija13,@SierraJohnson_1,Directed,60823,,,1
@10_digital,@PeterSweden7,Directed,31381,,,1
@10000Talkers,@ChelseaClinton,Directed,44222,,,1
@10000Talkers,@intheMatrixxx,Directed,44220,,,1
@10000Talkers,@POTUS,Directed,44223,,,1
@10000Talkers,@ryanfeinberg407,Directed,50299,,,1
@101piper,@KFILE,Directed,43548,,,1
@104SONADOR,@42Gnome,Directed,59994,,,1
@104SONADOR,@ad_gent2012,Directed,59996,,,1
@104SONADOR,@AMluvinit2,Directed,59993,,,1
@104SONADOR,@AnonymissFire,Directed,59991,,,1
@104SONADOR,@AWorldOutOfMind,Directed,59995,,,1
@104SONADOR,@bleudawn7,Directed,59988,,,1
@104SONADOR,@jdd2169,Directed,59990,,,1
@104SONADOR,@PATRIQT_1776,Directed,59989,,,1
@104SONADOR,@SafiMaasai,Directed,59992,,,1
@10x32,@FoxNews,Directed,15344,,,1
@10x32,@RealCharlieK,Directed,15340,,,1
@1111Joey,@abc,Directed,61651,,,1
@1111Joey,@cbs,Directed,61652,,,1
@1111Joey,@cnn,Directed,61654,,,1
@1111Joey,@foxnews,Directed,61656,,,1
@1111Joey,@msnbc,Directed,61655,,,1
