Id,Label,timeset,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,tweets,mentions,pro
@Blavity,,,34,0,0,0,0,0,2,3
@_MichaelEM,,,35,8,0.282383,0.319626,0,,,
@_michaelhughes1,,,3370,8,0.284084,0.325773,0,1,0,1
@LadyBabs07,,,3370,8,0.302177,0.350827,4270.602381,0,37,3
@_MrHarrison,,,61,8,0.284326,0.325225,0,,,
@realmikepacker,,,61,8,0.284047,0.324826,81,0,14,3
@Sarah_G_Barker,,,61,8,0.283863,0.323684,22,0,16,3
@_MsJanay,,,3276,8,0.282848,0.321183,0,1,0,3
@BobbyJOnline,,,3276,0,0,0,0,,,
@_MycroftXXX,,,36,9,0.246328,0.270269,0,,,
@_newsie,,,1560,9,0.244094,0.274315,0,,,
@cnnbrk,,,1560,8,0.30303,0.357062,10341.406385,0,11,3
@TwitterMoments,,,345,8,0.31878,0.388652,40084.471825,0,22,3
@_nickjohnson17,,,474,9,0.225422,0.248334,0,,,
@lucyhale,,,474,0,0,0,0,,,
@_notadoormatt,,,37,8,0.282383,0.319626,0,,,
@_NotFakeNews_,,,38,1,1,1,0,,,
@_notoriousG,,,663,9,0.223054,0.242715,0,1,0,3
@TedNugent,,,663,8,0.286448,0.329837,9693.617133,1,12,1
@_onimod_,,,54,8,0.287241,0.331562,0.5,1,0,3
@bodydouble,,,54,0,0,0,0,0,2,3
@JackShadowban,,,54,0,0,0,0,0,2,3
@MarcSilvahh,,,54,0,0,0,0,0,5,3
@_PapaMalo,,,39,8,0.282383,0.319626,0,1,0,1
@_pettyking,,,345,9,0.242122,0.268813,0,,,
@_RAGNAROK307,,,40,1,1,1,0,1,0,3
@koushik7496,,,40,0,0,0,0,0,1,3
@_RayStern,,,174,8,0.285714,0.328882,3.5,0,1,3
@KayaJones,,,1426,8,0.293057,0.348004,7664.969336,0,93,3
@kitconsul,,,174,0,0,0,0,,,
@marthamaccallum,,,174,9,0.247032,0.273464,1110.638492,0,41,3
@RealCandaceO,,,174,0,0,0,0,0,41,3
@TjJamesAZ,,,174,8,0.284981,0.325129,0,1,0,5
@_Resistance___,,,41,9,0.246753,0.271939,0,1,0,1
@Resist___45,,,41,0,0,0,0,0,1,3
@_resisting45,,,133,8,0.283495,0.323875,0,,,
@kazweida,,,133,0,0,0,0,0,1,3
@StaceyErekson,,,133,0,0,0,0,,,
@WaltDisneyCo,,,133,0,0,0,0,0,22,3
@_RobertBruce,,,4323,8,0.290705,0.336562,16,2,1,4
@DaddyFems,,,4323,0,0,0,0,0,31,3
@JakeSherman,,,4323,8,0.283572,0.321817,17938.083333,0,44,3
@nicwil75,,,4323,8,0.284872,0.324346,80.083333,0,29,3
@TheTweetwit,,,4323,8,0.290621,0.335622,228.866667,0,12,3
@_Ryker,,,345,9,0.242122,0.268813,0,,,
@_sanjuro,,,49,8,0.283312,0.322733,0,,,
@RubinReport,,,49,9,0.246467,0.271416,7615.434524,0,5,3
@TheYoungTurks,,,49,0,0,0,0,,,
@_senma,,,3112,9,0.220707,0.238811,0,,,
@kumailn,,,3112,8,0.282566,0.320773,9657.234524,0,8,3
@_shannonfields,,,42,8,0.282383,0.319626,0,,,
@_sheateher,,,43,8,0.282383,0.319626,0,,,
@_SJPeace_,,,96,9,0.246467,0.271416,0,,,
@Disney,,,96,0,0,0,0,0,60,3
@_SoniM,,,44,1,1,1,0,1,0,3
@MeikleXC,,,44,0,0,0,0,0,1,3
@_SSSteiner_,,,45,8,0.282383,0.319626,0,,,
@_standchen,,,3370,8,0.286901,0.326,0,1,0,3
@Pablo54572241,,,3370,8,0.286445,0.324495,0,0,5,3
@realLibertyTom,,,3370,8,0.293386,0.340232,1784.115476,0,13,3
@_StevenHunter_,,,73,9,0.223054,0.245176,0,,,
@19AnthonyG89,,,73,8,0.284339,0.32511,236.092857,,,
@MattEtcetera,,,73,0,0,0,0,0,1,3
@mitchellreports,,,49,8,0.283215,0.322709,5571.807143,0,4,3
@_thebethpenalty,,,46,8,0.283031,0.322328,0,,,
@ChrisisSingin,,,46,8,0.282566,0.320773,0,,,
@_timo_rex,,,1560,8,0.283215,0.321755,0,,,
@djrashaun,,,1560,8,0.283301,0.322111,2.166667,1,0,3
@_Twurtle,,,47,1,1,1,0,,,
@_UlyssesGrant_,,,48,8,0.282383,0.319626,0,1,0,3
@_WOODSCOMMAELLE,,,133,8,0.287582,0.331115,0,,,
@SnarkyCow,,,133,0,0,0,0,,,
@TheRealHublife,,,133,8,0.283679,0.324255,5380.370813,1,16,5
@_WSBG,,,1253,9,0.220989,0.240168,0,,,
@BRANDONWARDELL,,,1253,8,0.282383,0.319626,2180,0,2,3
@KyleAMadson,,,1253,0,0,0,0,,,
@00_dog,,,4323,8,0.300334,0.346267,0,0,1,3
@AmericianGinger,,,4323,8,0.303378,0.356289,186.566667,0,1,3
@Beardtongue1912,,,4323,0,0,0,0,0,2,3
@DarbaDee,,,4323,8,0.304196,0.364499,548871.998933,2,24,3
@DeannaSader,,,4323,8,0.298354,0.345917,36872.383869,0,21,3
@Lani6400,,,4323,8,0.282284,0.319595,54.472619,0,48,3
@000reginapeyto1,,,49,8,0.287109,0.330817,0,1,0,3
@almostjingo,,,49,8,0.290667,0.334993,1338.262266,0,1,3
@DrawbridgeJr,,,49,9,0.22584,0.247392,0,,,
@FaithFlaherty3,,,474,0,0,0,0,1,0,3
@Grtowner59Gary,,,49,0,0,0,0,0,1,3
@jimlibertarian,,,3370,8,0.282566,0.320773,183.163095,0,12,3
@003a04f8c2054b7,,,54,8,0.284231,0.326158,5.5,1,0,1
@BarrettMelva,,,54,0,0,0,0,0,1,3
@mcsha_k,,,54,8,0.283301,0.323067,0,0,7,3
@007darB,,,96,8,0.292781,0.342025,0,1,0,3
@JoeNBC,,,96,9,0.260948,0.302001,87954.10223,0,8,3
@Maryruthless66,,,96,0,0,0,0,,,
@MSNBC,,,49,8,0.302083,0.352737,91667.05965,0,21,3
@toddstarnes,,,96,8,0.28275,0.321156,1748.511111,0,3,3
@007nancyb,,,663,8,0.289695,0.332044,612.25,,,
@Lrihendry,,,663,8,0.293228,0.344299,6005.918531,1,13,5
@00evidence,,,73,8,0.28479,0.326759,63.8,1,0,3
@amjoyshow,,,49,0,0,0,0,0,3,3
@JoyAnnReid,,,49,0,0,0,0,0,25,3
@KFILE,,,5107,1,1,1,34,0,7,3
@Steel94010,,,73,8,0.283582,0.323472,3.666667,0,1,3
@010644franceJen,,,96,8,0.288336,0.334903,0,,,
@glenda_pollock,,,96,0,0,0,0,0,1,3
@MichaelSkolnik,,,96,9,0.246328,0.270269,0,0,12,3
@RavenclawHk,,,96,0,0,0,0,,,
@starshine731,,,96,8,0.282566,0.320773,0.666667,0,1,3
@01splcheck,,,5532,1,1,1,0,,,
@diamondandsilk,,,5532,0,0,0,0,,,
@GregGutfeldShow,,,5532,0,0,0,0,0,1,3
@01towin,,,474,8,0.283959,0.323896,0,,,
@rolandsmartin,,,474,8,0.296146,0.340427,2250.766667,0,12,3
@0862KeishaMarie,,,3608,1,1,1,0,1,0,3
@67jewelCDH,,,3608,0,0,0,0,0,2,3
@09072021,,,5673,8,0.283775,0.324276,0,,,
@JacksonJE2,,,5673,8,0.283775,0.324276,0,0,1,3
@JamseSr,,,5673,0,0,0,0,0,1,3
@LilMadBenMax,,,5673,0,0,0,0,0,1,3
@0b8f3b367a4845e,,,50,8,0.282383,0.319626,0,,,
@0GrumpyCareBear,,,51,8,0.282383,0.319626,0,,,
@0htheguilt,,,54,8,0.281818,0.325018,507.5,0,2,3
@bigirv2112,,,54,8,0.297715,0.347834,606.166667,0,1,3
@cat_blueyes_44,,,4323,8,0.2964,0.351394,411.833333,1,0,1
@CB09,,,54,0,0,0,0,0,1,3
@yinzerbinch,,,54,8,0.281818,0.325018,0,,,
@0ldladychild,,,52,8,0.282383,0.319626,0,1,0,1
@0neMans0p1n1on,,,663,1,1,1,0,,,
@IngrahamAngle,,,663,0,0,0,0,0,5,3
@NavVetUSA,,,663,0,0,0,0,,,
@0uija13,,,53,8,0.282848,0.321183,0,,,
@SierraJohnson_1,,,53,0,0,0,0,1,0,1
@10_digital,,,345,8,0.28275,0.321156,0,0,1,3
@PeterSweden7,,,345,8,0.282468,0.320744,3247.687879,0,17,3
@10000Talkers,,,3370,8,0.286039,0.326136,0,1,0,3
@intheMatrixxx,,,54,8,0.293799,0.33879,10245.25308,1,16,3
@POTUS,,,54,0,0,0,0,0,67,3
@ryanfeinberg407,,,3370,8,0.287724,0.334127,424.5,0,12,3
@100mnnug,,,55,8,0.286277,0.327654,0,,,
@100Trump45,,,56,9,0.246328,0.270269,0,,,
@101piper,,,5107,8,0.283129,0.321592,0,,,
@104SONADOR,,,5962,9,0.227296,0.258691,6.5,0,1,3
@42Gnome,,,5962,0,0,0,0,0,1,3
@ad_gent2012,,,5962,0,0,0,0,0,1,3
@AMluvinit2,,,5962,0,0,0,0,0,1,3
@AnonymissFire,,,5962,0,0,0,0,0,1,3
@AWorldOutOfMind,,,5962,8,0.283031,0.322328,1671.25,0,1,3
@bleudawn7,,,5962,9,0.227181,0.258319,2.5,0,1,3
@jdd2169,,,5962,9,0.246606,0.272563,516.083333,1,1,5
@PATRIQT_1776,,,5962,9,0.227411,0.259807,6.5,,,
@SafiMaasai,,,5962,9,0.227181,0.258319,14.666667,1,0,3
@1066Jim,,,57,8,0.282383,0.319626,0,1,0,3
@10x32,,,96,8,0.288525,0.333577,0,1,0,1
@RealCharlieK,,,96,8,0.285065,0.329022,16.833333,0,1,3
@10yearnote,,,58,8,0.282383,0.319626,0,,,
@1111Joey,,,474,1,1,1,0,2,0,3
@abc,,,474,0,0,0,0,0,26,3
@cbs,,,474,0,0,0,0,0,2,3
@cnn,,,474,0,0,0,0,0,3,3
@foxnews,,,1426,0,0,0,0,0,2,3
@msnbc,,,474,0,0,0,0,0,4,3
@nbc,,,1426,0,0,0,0,0,8,3
@113Gator,,,59,8,0.282383,0.319626,0,,,
@121bombero,,,60,8,0.282566,0.320773,0,,,
@123daisyanne,,,61,10,0.183571,0.1981,0,1,0,1
@girlsreallyrule,,,61,9,0.224218,0.249375,1748.166667,,,
@Twitter,,,61,0,0,0,0,0,18,3
@123kerri,,,62,8,0.282383,0.319626,0,,,
@12voltman60,,,54,8,0.287452,0.333015,0,1,0,3
@DeeDeeldn,,,54,0,0,0,0,0,1,3
@fids777,,,54,0,0,0,0,0,1,3
@JackisBack,,,345,8,0.28553,0.330371,24,2,2,4
@MikeHayes61,,,54,0,0,0,0,0,1,3
@Nigel_Farage,,,54,0,0,0,0,0,4,3
@SaveMySweden,,,54,0,0,0,0,0,1,3
@welshscouse74,,,54,0,0,0,0,0,1,3
@1300KWL,,,3112,9,0.255369,0.282715,0,3,0,2.3333333333333335
@CarleyShimkus,,,133,0,0,0,0,0,4,3
@ComfortablySmug,,,3112,8,0.282848,0.321183,1867,1,2,3
@mattyglesias,,,3112,0,0,0,0,0,5,3
@137_Web,,,1426,8,0.284421,0.32619,0,1,0,3
@FLOTUS,,,1426,0,0,0,0,0,60,3
@jimmykimmel,,,1426,0,0,0,0,0,61,3
@13thDrResists,,,63,8,0.282383,0.319626,0,,,
@1421carter,,,64,1,1,1,0,,,
@arresteddev,,,64,0,0,0,0,,,
@14uonly,,,73,9,0.228408,0.247214,0,1,0,1
@politico,,,73,8,0.295347,0.336622,7693.410026,0,15,3
@153grover,,,65,8,0.282566,0.320773,0,,,
@16po,,,1899,1,1,1,0,,,
@Starbucks,,,1899,0,0,0,0,0,7,3
@1776BetsyRoss,,,1426,8,0.314828,0.367626,0,1,0,3
@alwaystheself,,,1426,1,1,1,1,1,0,3
@comon_cents,,,1426,0,0,0,0,,,
@DanaPerino,,,73,8,0.282468,0.319787,7755.88373,0,18,3
@HowardKurtz,,,73,8,0.282848,0.321183,564.666667,,,
@KeithOlbermann,,,133,8,0.305478,0.348476,142233.737082,0,48,3
@LeahR77,,,474,8,0.286842,0.331094,74.705096,0,1,3
@ToddHeadleeAZ,,,474,8,0.286269,0.330559,15.333333,2,2,4
@1776Infowar,,,66,8,0.282383,0.319626,0,,,
@1776Ninja,,,67,8,0.282383,0.319626,0,,,
@1776PatHenry,,,68,8,0.282383,0.319626,0,1,0,1
@1776Stonewall,,,345,1,1,1,32.353247,0,5,3
@FOXTV,,,345,0,0,0,0,0,61,3
@17b7d325be1d454,,,1426,8,0.284047,0.32456,151.45,1,3,1
@GeorgeNickle3,,,1426,0,0,0,0,0,1,3
@GOP,,,73,0,0,0,0,0,4,3
@morgfair,,,1426,0,0,0,0,0,2,3
@17DISH,,,96,8,0.28432,0.324845,0,,,
@Mikel_Jollett,,,96,1,1,1,164.095635,1,3,1
@17LeeMasters,,,69,8,0.282383,0.319626,0,,,
@17MAGA76,,,54,1,1,1,0,1,0,3
@LawrenceBJones3,,,54,0,0,0,0,1,2,1
@18hariprakash18,,,1978,8,0.282848,0.321183,58,,,
@Hebron4824,,,1978,0,0,0,0,,,
@18wheelsrollon,,,70,1,1,1,0,,,
@1950jazzy,,,1426,9,0.245136,0.267623,0,,,
@RealJack,,,1426,8,0.324006,0.380728,6172.648593,0,5,3
@1964hp,,,71,8,0.282383,0.319626,0,,,
@1971Cricket,,,2774,8,0.283031,0.322328,0,,,
@Jali_Cat,,,2774,8,0.282383,0.319626,0,,,
@PressSec,,,2774,0,0,0,0,0,20,3
@1981Laroche,,,474,8,0.287327,0.33011,0,1,0,3
@DJSeanHaley,,,474,8,0.287241,0.330833,53,2,9,3
@DonCheadle,,,474,8,0.292731,0.3398,2059.142857,0,20,3
@SQLKohai,,,474,0,0,0,0,0,11,3
@symmo1969,,,474,8,0.287783,0.333385,121,1,11,3
@1983dodgers,,,49,8,0.288147,0.332819,0,,,
@ADL_National,,,54,0,0,0,0,0,2,3
@chrislhayes,,,49,0,0,0,0,0,5,3
@GlennKesslerWP,,,54,8,0.283031,0.322328,13,0,2,3
@rosierifka,,,49,0,0,0,0,,,
@ValerieJarrett,,,2774,0,0,0,0,0,50,3
@1984_not_1984,,,72,8,0.282383,0.319626,0,,,
@1991Zjddoif,,,133,8,0.283592,0.322378,0,,,
@LisaMei62,,,133,8,0.299795,0.345755,3613.719481,0,15,3
@jefferyclark,,,73,8,0.285161,0.328108,559.7,0,15,3
@JessicaTarlov,,,73,8,0.282835,0.321511,6781.505628,0,31,3
@1Amabo2Go,,,616,8,0.289164,0.336021,0,1,0,3
@atensnut,,,616,1,1,1,3.5,1,1,3
@DearAuntCrabby,,,616,1,1,1,2.5,,,
@OliverMcGee,,,663,8,0.301097,0.351801,2628.980127,0,27,3
@therealroseanneDearAuntCrabby,,,616,0,0,0,0,,,
@1AmPocohontas,,,474,8,0.299059,0.338023,0,,,
@8fuld,,,474,9,0.24815,0.269103,219.666667,0,1,3
@DonitaDRKennedy,,,474,0,0,0,0,0,1,3
@ItsPBJ1time,,,474,0,0,0,0,0,1,3
@LeslieATyler,,,474,8,0.310659,0.3514,126.333333,1,2,3
@TrvlPrst,,,474,8,0.298316,0.336163,4,0,1,3
@1angryhillbilly,,,74,8,0.282848,0.321183,0,1,0,1
@dmason8652,,,74,8,0.282848,0.321183,0,0,1,3
@1BarbSalinas,,,75,8,0.282383,0.319626,0,,,
@1bigyungsta8,,,76,8,0.282383,0.319626,0,,,
@1blessedbee,,,345,8,0.283974,0.323417,0,1,0,3
@CocoaSwann,,,345,8,0.284794,0.3266,251.545455,1,3,3
@1caroline_t,,,77,8,0.282383,0.319626,0,,,
@1charlieprince,,,1560,9,0.264344,0.305042,249,0,9,3
@puffballsgirl,,,1560,8,0.279739,0.320855,3379.316667,1,13,3
@1cheriebaby,,,54,8,0.288787,0.333763,0,2,0,2
@Real_Gaz,,,54,8,0.283031,0.322328,31.916667,0,1,3
@solentgreenis,,,54,0,0,0,0,0,1,3
@1cocopuff11,,,78,8,0.282383,0.319626,0,1,0,5
@1CricFan,,,79,9,0.246328,0.270269,0,1,0,3
@1crosbycat,,,5962,8,0.287779,0.332513,0,1,0,5
@385parkplace,,,5962,8,0.288079,0.335572,131721.194872,1,7,5
@brianbsaleh,,,5962,8,0.286842,0.329451,0,0,1,3
@MARS0411,,,5962,8,0.303559,0.358369,212008.367063,2,10,2
@Odonata_Anon,,,5962,0,0,0,0,0,1,3
@SGTreport,,,5962,0,0,0,0,0,8,3
@1CynicalCyborg,,,474,8,0.28275,0.321156,0,1,0,3
@1DanielScott,,,80,1,1,1,0,,,
@1DeplorableGirl,,,73,1,1,1,0,,,
@kathygriffin,,,73,0,0,0,0,0,19,3
@1fritiof,,,81,1,1,1,0,1,0,3
@POPSUGAREnt,,,81,0,0,0,0,0,1,3
@1FroggyEvening,,,82,1,1,1,0,,,
@MyDawhaHasWings,,,82,0,0,0,0,1,0,3
@1HealthFan,,,83,8,0.282383,0.319626,0,,,
@1jasonthemason,,,616,8,0.285437,0.327151,0,,,
@1Romans58,,,616,8,0.2893,0.339286,6264.282773,0,11,3
@bbusa617,,,616,8,0.286934,0.330337,1914.45,0,2,3
@VP,,,616,0,0,0,0,0,14,3
@1Javierson,,,2774,8,0.288336,0.333198,0,1,0,3
@InsideOutLaw,,,2774,8,0.287304,0.329971,0,0,2,3
@NFL,,,9,0,0,0,0,0,7,3
@whatupJD3,,,2774,8,0.287213,0.330724,18,0,4,3
@1Jedi_Rey,,,1899,8,0.286465,0.328801,82.657143,1,2,5
@1JoeBear1,,,5314,8,0.297943,0.338397,0,,,
@TheTweetOfGod,,,5314,8,0.299866,0.350314,4706,0,56,3
@1johnG,,,96,8,0.282848,0.321183,0,,,
@willbarrett_1,,,96,8,0.282383,0.319626,0,,,
@1licorice1,,,61,10,0.184351,0.201114,0,,,
@charliesheen,,,61,9,0.225013,0.256571,1817.166667,,,
@MarkSimoneNY,,,61,0,0,0,0,,,
@1line2line3,,,61,8,0.294396,0.333579,28.916667,,,
@1LogicalMan,,,345,8,0.282848,0.321183,0,,,
@NolteNC,,,345,8,0.282383,0.319626,872,1,1,5
@1loriking,,,84,8,0.282383,0.319626,0,,,
@1MaidenHell,,,85,8,0.282383,0.319626,0,,,
@1MikeMorris,,,3756,8,0.282383,0.319626,0,,,
@1mimi4ever,,,1560,9,0.224041,0.246903,128,,,
@achirichella,,,1560,0,0,0,0,,,
@ToniinTexas,,,1560,0,0,0,0,,,
@1MoorDebz,,,86,1,1,1,0,,,
@indiewire,,,86,0,0,0,0,,,
@1MoralUniverse,,,345,9,0.269608,0.297309,0,,,
@MollyJongFast,,,345,9,0.22896,0.250937,952.157143,0,2,3
@UdayandQusay,,,345,0,0,0,0,,,
@1Munder,,,4039,1,1,1,0,,,
@YouTube,,,4039,0,0,0,0,0,7,3
@1myindependence,,,616,8,0.284511,0.324845,0,,,
@1no_censorship,,,73,9,0.23653,0.26483,0,,,
@1oldlady,,,87,8,0.282383,0.319626,0,,,
@1PatriotAlice,,,88,8,0.282383,0.319626,0,,,
@1pearljamfan,,,474,8,0.283582,0.324997,0,1,1,3
@RajaBleedsBlue,,,474,8,0.283582,0.324997,0,1,1,1
@1pootinlady,,,3370,8,0.287532,0.330436,0,1,0,3
@Jefftuttle,,,3370,0,0,0,0,0,1,3
@Mardcon,,,3370,8,0.286624,0.32746,0,0,1,3
@thenatureboiiii,,,3370,8,0.295082,0.343127,1057.836905,1,10,1
@1pricklypear,,,89,8,0.284238,0.325812,0,1,0,5
@HAGOODMANAUTHOR,,,89,0,0,0,0,0,1,3
@LadyReverb,,,89,0,0,0,0,0,1,3
@mysticmama777,,,89,0,0,0,0,,,
@wade_yeakle,,,89,0,0,0,0,,,
@abcnews,,,474,0,0,0,0,0,1,3
@ABCPolitics,,,474,0,0,0,0,0,4,3
@JoyVBehar,,,96,0,0,0,0,0,19,3
@macker_da,,,616,8,0.284231,0.324446,0,1,0,5
@1RonnieD,,,2687,8,0.301105,0.340566,0,,,
@brianstelter,,,2687,8,0.287508,0.333963,15845.986218,0,12,3
@1SassyLadyDi,,,3370,8,0.282848,0.321183,0,,,
@OfficialJonZal,,,3370,8,0.282383,0.319626,583.033333,0,1,3
@1Seanchaney3,,,90,8,0.282383,0.319626,0,1,0,3
@1st_and_only,,,61,8,0.285714,0.329805,1,0,4,3
@ITMFA_NOW,,,61,8,0.285714,0.329805,0,1,3,3
@JerriSwann21,,,61,8,0.285161,0.327165,0,0,4,3
@ScottDaniels447,,,61,8,0.285899,0.330936,5,1,3,3
@thegeissberger,,,61,8,0.285714,0.329805,1,1,3,3
@thepolyjunki,,,61,8,0.285714,0.329805,1,1,3,3
@1stMosesNowThis,,,54,8,0.285171,0.326905,0,2,3,4
@holachola,,,54,8,0.287356,0.333386,122,4,4,2.5
@the_anne_tie,,,54,8,0.285171,0.326905,0,1,4,3
@1sweetkahili,,,4323,8,0.285988,0.328726,0,,,
@carlcannova,,,4323,0,0,0,0,,,
@cheryl0606,,,4323,8,0.284615,0.32419,1023,0,1,3
@JuseBeats,,,4323,8,0.286082,0.330196,1002,3,0,2.3333333333333335
@SeanLethcoe,,,4323,8,0.282383,0.319626,0,0,5,3
@TRPhrophet,,,96,0,0,0,0,,,
@1TitanTyler,,,1899,8,0.268908,0.31018,512,1,1,3
@ladyhawkerfinds,,,1899,8,0.282477,0.331171,2089.166667,1,3,5
@1truthmatters,,,91,8,0.282566,0.320773,0,,,
@1twig,,,345,1,1,1,0,1,0,5
