Assigned To	Code	Date	User	Tweet
Sarah Jackson	Anti-Roseanne	Tue May 29 18:57:33 +0000 2018	Btrfly578	@ColsonBrad @rickygervais @therealroseanne Jokes have punchlines, what she made is an observation from a warped, ra... https://t.co/08QkkkbFhb
Suzanne Garcia	Unclear/Unrelated	Tue May 29 18:57:34 +0000 2018	blairacampion	Here's a shot of Bret Stephens getting  in some lunges to better prepare for the leaps in logic he'll make in his n... https://t.co/FEbB7sYfGi
Sigfried Gold	Anti-Roseanne	Tue May 29 18:57:34 +0000 2018	high5assfuck	RacistRoseanne
Sarah Jackson	Anti-Roseanne	Tue May 29 18:57:34 +0000 2018	Air_Socrates	Good for you, ABC.  ABC cancels Roseanne after Roseanne Barr tweets racist 'joke' https://t.co/nk3h6OfUtS via @TheWeek
Suzanne Garcia	Anti-Roseanne	Tue May 29 18:57:35 +0000 2018	SDallasKnight	@therealroseanne Hahaha you idiot! Good riddance!
Michael Joseph, III	Pro-Roseanne	Tue May 29 18:57:35 +0000 2018	POTUS_Don45	Imagine Roseanne gets cancelled but SNL is applauded. Entertaining people is different for liberals and republicans... https://t.co/u58PxsBuux
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:57:36 +0000 2018	Alexis_Cossette	@atBtru2U @therealroseanne @POTUS Who took the pics on board AF1 on route to Asia then? It's not Pence.
Carmen Collins	Neutral	Tue May 29 18:57:36 +0000 2018	vanditchandak	BREAKING: ABC makes major announcement https://t.co/LjptC5hx4T
Michael Joseph, III	Pro-Roseanne	Tue May 29 18:57:36 +0000 2018	nicky2056	@THEsaragilbert No foul on your part. Roseanne spoke the truth! Liberals are against anything that stands for true... https://t.co/GDjRHoumlz
Aditya Bhat	Neutral	Tue May 29 18:57:37 +0000 2018	crunchyrugger	ABC CANCELS ROSEANNE'.  (Fox execs frantically rearrange fall schedule)
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:57:37 +0000 2018	RexKahrs1	RoseanneTheRacist
