Assigned To	Code	Date	User	Tweet
Carmen Collins	Unclear/Unrelated	Tue May 29 18:07:33 +0000 2018	ashleygennett	@Kybballking At least I'd been ahead of Roseanne
Suzanne Garcia	Pro-Roseanne	Tue May 29 18:07:33 +0000 2018	MichaelBTCE	@TheProposalTV @ABCNetwork @JessePalmerTV You'll keep this garbage on, but get rid of @therealroseanne? Fuck you, you bunch of bitches.
Sigfried Gold	Pro-Roseanne	Tue May 29 18:07:33 +0000 2018	KimberlyAParri0	ROSEANNE BARR CENSORED https://t.co/8JYkyhvDcM
Sigfried Gold	Anti-Roseanne	Tue May 29 18:07:33 +0000 2018	RESISTTHECHEETO	Roseanne's Twitter statement is abhorrent,... https://t.co/5KZyKZMrqT
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:07:33 +0000 2018	ChildspirtVari	@Chongo2204 I'm about to pen a biography book about @therealroseanne this is the working title so far.... https://t.co/x4DPnXjlYl
Suzanne Garcia	Neutral	Tue May 29 18:07:34 +0000 2018	abferri	usatodaylife: RT SaraMoniuszko: 'Roseanne's Twitter statement is abhorrent, repugnant and inconsistent with our val... https://t.co/1vHGdf9YAY
Aditya Bhat	Neutral	Tue May 29 18:07:35 +0000 2018	itssnaz_	are ABC executives also going to account for why they decided to pick up roseanne in the first place? because girl...
Kristen Byers	Anti-Roseanne	Tue May 29 18:07:35 +0000 2018	senormundial	My problem with @therealroseanne was never that she was a Trump supporter. It was her blatant racism that everyone... https://t.co/7mB4Ac4ABb
Sarah Jackson	Anti-Roseanne	Tue May 29 18:07:35 +0000 2018	downtownFranki1	Good.  https://t.co/shS51h6Wt3
Sarah Jackson	Neutral	Tue May 29 18:07:36 +0000 2018	AmericanSunlig1	ABC cancels 'Roseanne' after star's racist Twitter rant https://t.co/FjK0Yd6Dmy via @CNNMoney
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:07:36 +0000 2018	Kevincore77	@therealroseanne Karma! You and your god Trump do NOT have permission to go around calling people names, judging pe... https://t.co/09VhEoa0kM
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:07:36 +0000 2018	BillWrh1970	@mmstwells @marthamaccallum @therealroseanne @RealCandaceO Now if they will do it against racist blacks
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:07:37 +0000 2018	markyquayle	Repercussions! https://t.co/ssscpLHu9E
Suzanne Garcia	Anti-Roseanne	Tue May 29 18:07:37 +0000 2018	PhilipClark	Since I don't TV, Roseanne's unscheduled TV demise won't have any effect on my personal life, but I still find it modestly comforting.
Sarah Jackson	Anti-Roseanne	Tue May 29 18:07:37 +0000 2018	AlexChestnut7	@Mamaknits3 @therealroseanne Forgiveness is for Valerie Jarrett to decide. Giving a platform to a repeat offender w... https://t.co/xZEdViqaJv
Carmen Collins	Anti-Roseanne	Tue May 29 18:07:38 +0000 2018	atrophyart	@EmmaRoseKenney Emma.  Go crawl back under your rock you came from before @therealroseanne. Never bite the hand tha... https://t.co/NXw7unh1Lc
Sarah Jackson	Unclear/Unrelated	Tue May 29 18:07:38 +0000 2018	KenBelder	@CLOUD_TAP_LANCE @Disney @ABC @espn @therealroseanne @KeithOlbermann That VJ's haircut is similar to Planet of the Apes?
Michael Joseph, III	Pro-Roseanne	Tue May 29 18:07:38 +0000 2018	Avoice4u2day	@JacobEngels @therealroseanne Free speech only exists for them - total hypocrites
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:07:39 +0000 2018	ArthurQ23441436	WTF  https://t.co/o7yHepugmg
Aditya Bhat	Anti-Roseanne	Tue May 29 18:07:39 +0000 2018	Ignoramus666	Roseanne got another chance at the boring show, but only managed to show that she fukka sukka dick
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:07:39 +0000 2018	ShayGizzleXO	Since y'all cancelled Roseanne, bring back OLTL &amp; All My Children @ABC
Suzanne Garcia	Neutral	Tue May 29 18:07:39 +0000 2018	ScumbagTheDog	@michaelbeatty3 @sigstarget Marco Rubio once so promising - the only thing to fall further faster, may be Roseanne.
Sigfried Gold	Anti-Roseanne	Tue May 29 18:07:39 +0000 2018	ashes1032	Not the first time @therealroseanne has referred to an African American women in such a racist way, see comment abo... https://t.co/kw0Z5UAVey
Aditya Bhat	Anti-Roseanne	Tue May 29 18:07:40 +0000 2018	InsomniaNoir	Lol Roseanne got cancelled because Roseanne was out here being racist again?  I am not even remotely surprised.
Suzanne Garcia	Pro-Roseanne	Tue May 29 18:07:40 +0000 2018	raaadaniel	@RealJack Sadly it was just an Excuse to cancel @real Roseanne BC Real         Patriots LOVED IT.
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:07:40 +0000 2018	7News	@texasps @Holmesdonna1 @FoxNews @ABC @Roseanne Same thing happened with @LastManStanding
Carmen Collins	Unclear/Unrelated	Tue May 29 18:07:41 +0000 2018	_MsJanay	@therealroseanne This is the one thing I can agree with you on. Shame that you're dragging him down with you. @ABC... https://t.co/0VrjuPcZpW
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:07:41 +0000 2018	Lucyluc13407239	@RolandBradford1 @MARS0411 @385parkplace @SGTreport @therealroseanne Or we can vote Trump out and remember the ones... https://t.co/gEkVtYVCpF
Kristen Byers	Anti-Roseanne	Tue May 29 18:07:42 +0000 2018	PaulMayATL	Deplorables sickened over Roseanne cancellation. Will now return to watching '10,000 recipes for road kill' on Animal Planet.
Carmen Collins	Pro-Roseanne	Tue May 29 18:07:42 +0000 2018	Bueno247	WTF! ABC cancela la serie 'Roseanne' tras un tuit racista de su protagonista https://t.co/61sscG8vlA v  a @elpais_tele
Carmen Collins	Anti-Roseanne	Tue May 29 18:07:42 +0000 2018	AlHeNNBHZ	ROSEANNE.. YOU'RE  FIRED.. BOOM
Suzanne Garcia	Anti-Roseanne	Tue May 29 18:07:42 +0000 2018	Pouissant1	@GnarlyMcAwesome @therealroseanne @IWillRedPillU And you are an ignorant deplorable just like her. Awesome my ass
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:07:42 +0000 2018	kfury	K  nnte Roseanne bitte aufh  ren doof zu sein und meine Lieblingssitcom dadurch zu zerst  ren? Thx.
Kristen Byers	Anti-Roseanne	Tue May 29 18:07:43 +0000 2018	MoreLes101	I saved a ton of energy by blocking her on the first day.  Roseanne got canceled!
Kristen Byers	Unclear/Unrelated	Tue May 29 18:07:43 +0000 2018	Toutesinfostele	Roseanne
Sarah Jackson	Pro-Roseanne	Tue May 29 18:07:43 +0000 2018	Flame615	hypocrisy
Kristen Byers	Pro-Roseanne	Tue May 29 18:07:44 +0000 2018	pinkartgurl59	@irritatedwoman @therealroseanne @TheView That is interesting, yet so logical. Libs don't follow the same rules.
Kristen Byers	Unclear/Unrelated	Tue May 29 18:07:44 +0000 2018	TheCarlMyers	ROSEANNE
Sigfried Gold	Unclear/Unrelated	Tue May 29 18:07:44 +0000 2018	ErikHandy	@therealroseanne  https://t.co/yhHNpSP7H8
Michael Joseph, III	Pro-Roseanne	Tue May 29 18:07:44 +0000 2018	bears_blackhawk	maga
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:07:44 +0000 2018	RealNews_Facts	@therealroseanne @ChelseaClinton @OpenSociety Here's hoping you get sued for defamation. A 2 sec search could have spared you.
Suzanne Garcia	Neutral	Tue May 29 18:07:45 +0000 2018	cchhjh_josette	@therealroseanne The fact that she couldn't keep her true beliefs to herself cost so many people their jobs. True truummppp actions!
Sarah Jackson	Unclear/Unrelated	Tue May 29 18:07:45 +0000 2018	EdJaworowicz	@billyeichner I think for fans of Roseanne, nostalgia is the same thing as economic anxiety.
Sarah Jackson	Anti-Roseanne	Tue May 29 18:07:45 +0000 2018	SH61970	@Jackies1866109 @therealroseanne You're sooo right. I guess me and THE ENTIRE REST OF THE PLANET only see things th... https://t.co/AeNLC6gJz7
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:07:45 +0000 2018	MZiets	@therealroseanne ... https://t.co/ZEHNu9uyl8
Carmen Collins	Unclear/Unrelated	Tue May 29 18:07:46 +0000 2018	BrianBalthazar	@therealroseanne  Life comes at you fast.              https://t.co/opqEKAXD0o
Carmen Collins	Anti-Roseanne	Tue May 29 18:07:46 +0000 2018	Roxy13988438	So conservatives, libertarians aren't entitled to their freedom of speech? Can't make a joke without people on the... https://t.co/ktVtrjvbS1
Sigfried Gold	Anti-Roseanne	Tue May 29 18:07:46 +0000 2018	etiennedodge	@kumailn @ABCNetwork If you cancel 'Roseanne' in the woods does it make a sound? Yes, and it says something racist.
Aditya Bhat	Neutral	Tue May 29 18:07:47 +0000 2018	RFLRedZone	Damn, Roseanne canceled
Sigfried Gold	Unclear/Unrelated	Tue May 29 18:07:47 +0000 2018	LadyKornflakes	Hypocrite
Sarah Jackson	Unclear/Unrelated	Tue May 29 18:07:47 +0000 2018	AdemHoog	@TC_resistance @therealroseanne She doesn't, as of an hour ago, apparently.
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:07:47 +0000 2018	TFDCheech	@vtktorg @THEsaragilbert @therealroseanne She'd already bashed trans folk before Sara produced the new season. Sara is an LGBTQ traitor.
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:07:47 +0000 2018	ellen_wragge	@hrtablaze @therealroseanne *My
Carmen Collins	Anti-Roseanne	Tue May 29 18:07:48 +0000 2018	jdukeemt	@meganamram It's going to be awesome when Trump, who claimed this morning he has to focus his energy on North Korea... https://t.co/L95PofuUe3
Sigfried Gold	Unclear/Unrelated	Tue May 29 18:07:48 +0000 2018	swansonian	@lynn_snyder13 @marthamaccallum @therealroseanne @RealCandaceO Excellent point. I think Martha because she's friend... https://t.co/iZ4WENZVvl
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:07:49 +0000 2018	Billyo79	Roseanne
Kristen Byers	Unclear/Unrelated	Tue May 29 18:07:49 +0000 2018	manovark	abc
Suzanne Garcia	Unclear/Unrelated	Tue May 29 18:07:49 +0000 2018	Draisnumber2R	@900Max @pnf_phytrade @Scaramucci Not true. Just ask @therealroseanne
Sigfried Gold	Unclear/Unrelated	Tue May 29 18:07:49 +0000 2018	therealchiquis	MAGA
Sarah Jackson	Unclear/Unrelated	Tue May 29 18:07:49 +0000 2018	shelleyzross	@PaulGoebelShow @hollygo10 @LadyBabs07 @therealroseanne @ABC I like how you try super hard to push buttons. It's cu... https://t.co/BySPdWZs4a
Suzanne Garcia	Neutral	Tue May 29 18:07:50 +0000 2018	Kyra_Senese	Roseanne Barr's acting career. https://t.co/BZcWysEO3j
Sigfried Gold	Anti-Roseanne	Tue May 29 18:07:50 +0000 2018	OBSERVER_RAM	@ABCNetwork Thanks for doing what is right by not letting @therealroseanne get away with being a piece of shit huma... https://t.co/YZ03LvesbG
Sarah Jackson	Unclear/Unrelated	Tue May 29 18:07:50 +0000 2018	garytait1	@countrygal279 @CaughtYa164 @lisa_lucius @therealroseanne Can you post a clip of someone on the View espousing horrendously racist views?
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:07:51 +0000 2018	sirmudkip05	Roseanne
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:07:51 +0000 2018	JohnHuckle4u	@RoseanneOnABC Who could of possibly seen this coming.....  https://t.co/NMoX9YIACW
Aditya Bhat	Neutral	Tue May 29 18:07:51 +0000 2018	tblsnyder1	@mitchellreports @emmbee1002 @JoyAnnReid Roseanne is entitled to say whatever she wants, however ABC is also entitl... https://t.co/0UBxFal1b2
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:07:51 +0000 2018	damonslocumb	ByeFelicia
Kristen Byers	Anti-Roseanne	Tue May 29 18:07:51 +0000 2018	jenmil67	Roseanne has been cancelled by ABC and Most Americans with common sense.          https://t.co/cwcvDQ0g58
Carmen Collins	Unclear/Unrelated	Tue May 29 18:07:51 +0000 2018	mojosd	@ElderLansing @thegobest @therealroseanne Orange is a one-of-a-kind word/color.. no English word rhymes, it is the... https://t.co/LVusgz8v2t
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:07:52 +0000 2018	kidhaggard	Roseanne has been saying nightmarish things about Jews for years, and yet her show got greenlit, and people watched... https://t.co/zRn0Fke1Gs
Aditya Bhat	Pro-Roseanne	Tue May 29 18:07:52 +0000 2018	actiondirector1	@therealroseanne @ChelseaClinton @OpenSociety Thank you, Roseanne! You rock!!!
Suzanne Garcia	Neutral	Tue May 29 18:07:52 +0000 2018	WholeLottaRosex	I wish @RealJamesWoods and @ScottBaio had roles on Roseanne instead of those other good people.
Sarah Jackson	Anti-Roseanne	Tue May 29 18:07:52 +0000 2018	liz_lrutecki	Hey @therealroseanne, time to replace your cover photo, racist. https://t.co/QvDZ5DPs28
Kristen Byers	Neutral	Tue May 29 18:07:53 +0000 2018	Dana_Voicu_	@AP Hope that @therealroseanne has a goof health insurance and retirement plan and she will enjoy the rest of her l... https://t.co/xd59OLIVl4
Kristen Byers	Anti-Roseanne	Tue May 29 18:07:53 +0000 2018	arsonoptics	good riddance roseanne. no place in 2018 for you racist old scum bags.
Carmen Collins	Anti-Roseanne	Tue May 29 18:07:53 +0000 2018	jonny_red32	Can you hear the garbage truck pulling away? The Latest: ABC cancels 'Roseanne' after star's racist tweet:... https://t.co/S07AZBTJRC
Sigfried Gold	Neutral	Tue May 29 18:07:54 +0000 2018	greyplanet	ABC cancels 'Roseanne' after Barr's racist tweet  https://t.co/86Hfe58xdC
Sarah Jackson	Unclear/Unrelated	Tue May 29 18:07:54 +0000 2018	CAMLI63	@chrisb_writer @andygh26 @Milliron681 @soonerrick @debralynnsmith3 @therealroseanne correct well sort of as Hillary... https://t.co/2e7ZpmEQ5U
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:07:54 +0000 2018	mkmagee	@therealroseanne I love that some things still have consequences
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:07:55 +0000 2018	GraemeEdgeler	@therealroseanne Too late for https://t.co/VhRflgpN0i a black female that grew up watching your show.your comment w... https://t.co/l4QyNvmJaB
Aditya Bhat	Anti-Roseanne	Tue May 29 18:07:56 +0000 2018	zosnana	@irishrygirl @therealroseanne What gets me is how since she's a comedian she thinks she cld get by wth "it's a joke... https://t.co/a6vEwLhMY0
Carmen Collins	Unclear/Unrelated	Tue May 29 18:07:56 +0000 2018	Bow2kaos	@T_S_P_O_O_K_Y @Deplorable69CA @MarkSZaidEsq @therealroseanne @BradMossEsq I want progressives to get everything th... https://t.co/uurbWWFn4S
Suzanne Garcia	Unclear/Unrelated	Tue May 29 18:07:56 +0000 2018	0862KeishaMarie	@its_a_trapppppp @therealroseanne Even if she isn't working, she is still representing the company and is a recogni... https://t.co/lZmlFOUyeL
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:07:56 +0000 2018	LibertysLev	How good is the USA ABC decision re sacking Roseanne Barr!!! Inclusion at the heart of everything.
Carmen Collins	Pro-Roseanne	Tue May 29 18:07:57 +0000 2018	Cubz9	@ABCNetwork  I think you guys could have and should have sanctioned Roseanne or sent her to sensitivity training.... https://t.co/aEgeNKPTkx
Carmen Collins	Anti-Roseanne	Tue May 29 18:07:57 +0000 2018	BigSky3450	@17b7d325be1d454 @MAGA_PARTY_559 @KayaJones @therealroseanne No assumptions made, at all. Roseanne knew referring t... https://t.co/fa94eFH57X
Carmen Collins	Unclear/Unrelated	Tue May 29 18:07:57 +0000 2018	AddictedLives	damnfools
Sarah Jackson	Unclear/Unrelated	Tue May 29 18:07:57 +0000 2018	sheila_hirchert	Burrrp
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:07:57 +0000 2018	LightSkinHero	@therealroseanne                                bye Felicia! https://t.co/gt4Hqvands
Kristen Byers	Neutral	Tue May 29 18:07:58 +0000 2018	SaturatedMatt	roseannecanceled
Kristen Byers	Unclear/Unrelated	Tue May 29 18:07:58 +0000 2018	joedlc71	@TheGoodGodAbove @therealroseanne @therealroseanne          https://t.co/m2HucnbpZx
Kristen Byers	Anti-Roseanne	Tue May 29 18:07:58 +0000 2018	edhere	Bye bye, Roseanne https://t.co/fg4WNk505s
Carmen Collins	Pro-Roseanne	Tue May 29 18:07:58 +0000 2018	meanbean74	@AprilDRyan @therealroseanne There will come a day when the world of double standards you so dearly cling to will e... https://t.co/6SiTtbeub7
Carmen Collins	Anti-Roseanne	Tue May 29 18:07:58 +0000 2018	GabeTheSqueak	@JTMYVA @therealroseanne I can't wait til you inevitably get kicked off Twitter and you and your ilk disappear from... https://t.co/vSwn9RuZa1
Aditya Bhat	Pro-Roseanne	Tue May 29 18:07:59 +0000 2018	LindaMarie1182	Lmmfao at the crybaby leftists who are mad because @therealroseanne gave the left a dose of what they do everyday w... https://t.co/WMDw7iv9TL
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:07:59 +0000 2018	PraxisKenzie	Nice try but for Roseanne to accurately portray the home life of MAGA people the meltdown would have to end with he... https://t.co/gJgoy8bJeU
Aditya Bhat	Neutral	Tue May 29 18:07:59 +0000 2018	goleafs1967	@marthamaccallum @therealroseanne @RealCandaceO Anyone not believe that ABC was looking for a reason?
Carmen Collins	Unclear/Unrelated	Tue May 29 18:07:59 +0000 2018	jisforjolana	@soonerrick @BethB1213 @therealroseanne @ABCNetwork Still yawning??
Kristen Byers	Neutral	Tue May 29 18:08:00 +0000 2018	jcenters	The new Yanny/Laurel blue/gold dress-which one is free speech: Roseanne having a show or players kneeling at a football game?
Carmen Collins	Pro-Roseanne	Tue May 29 18:08:00 +0000 2018	flints1963	@therealroseanne Now we'll boycott @ABCNetwork too. This has to end. Nobody has the power to tell us how to speak!!!
Suzanne Garcia	Unclear/Unrelated	Tue May 29 18:08:00 +0000 2018	SamuelAAdams	@pasadenaralph @therealroseanne Racism is not permitted in great USA what about when she grabbed her crotch during... https://t.co/A6k0509o8Z
Suzanne Garcia	Neutral	Tue May 29 18:08:00 +0000 2018	TLForeman	the internet is blowing up over Roseanne Barr's comments about Valerie Jarrett.  Well, take a look at her and Zira... https://t.co/I1tKIxjyLJ
Aditya Bhat	Anti-Roseanne	Tue May 29 18:08:01 +0000 2018	wolfgirl1	@themaxburns @raehanbobby @therealroseanne I guess @theealroseanne should have thought before tweeting ugliness all on her!
Carmen Collins	Unclear/Unrelated	Tue May 29 18:08:01 +0000 2018	Ronoftuscany	Roseanne
Carmen Collins	Neutral	Tue May 29 18:08:01 +0000 2018	bayoulafayette	Yooo @JoeBudden that Roseanne nonsense got cancelled
Suzanne Garcia	Unclear/Unrelated	Tue May 29 18:08:01 +0000 2018	scaredsquee	@andygh26 @soonerrick @debralynnsmith3 @therealroseanne  https://t.co/hzJLfXjouC
Sigfried Gold	Anti-Roseanne	Tue May 29 18:08:01 +0000 2018	kdizzzzle13	@ABC Cya Roseanne!
Carmen Collins	Anti-Roseanne	Tue May 29 18:08:02 +0000 2018	pedrobutcher	Dear @ABCNetwork - You've got Laurie Metcalf and John Goodman right there doing all the heavy lifting anyway - do '... https://t.co/SgVeW4NOU8
Suzanne Garcia	Unclear/Unrelated	Tue May 29 18:08:02 +0000 2018	aridcarrot	first brooklyn nine nine gets cancelled and revived within one (1) day and now roseanne gets cancelled... maybe the... https://t.co/o8ORtVMaPY
Aditya Bhat	Anti-Roseanne	Tue May 29 18:08:03 +0000 2018	FujiwaraArmbar	Well, Roseanne went and ruined everything. I have no sympathy for her, but I feel sorry for the rest of the cast on... https://t.co/uUBobJ7v42
Kristen Byers	Anti-Roseanne	Tue May 29 18:08:03 +0000 2018	sarahslep	Way to fuck up everything @therealroseanne - so disappointed in you. You lost a loyal fan.
Kristen Byers	Unclear/Unrelated	Tue May 29 18:08:03 +0000 2018	AstrologyWorks2	SaturdayMotivation
Suzanne Garcia	Anti-Roseanne	Tue May 29 18:08:03 +0000 2018	usa1dj	@therealroseanne BYE BITCH BYE BITCH BYE BITCH
Sigfried Gold	Unclear/Unrelated	Tue May 29 18:08:03 +0000 2018	trancedoutforms	@therealroseanne 'and her looks'??? You resemble that animal more than she does. You prove what I continue to say a... https://t.co/YxxrSOSGO7
Sarah Jackson	Pro-Roseanne	Tue May 29 18:08:03 +0000 2018	__TaYmuR__	@realmikepacker @Sarah_G_Barker @EdKrassen @therealroseanne Again, it will be okay snowflake
Aditya Bhat	Neutral	Tue May 29 18:08:04 +0000 2018	robert_burnier	Roseanne series canceled.  Wanda Sykes had already quit. A huge blow. Prospects dimmed. Ratings dropping. Really th... https://t.co/R7lYtBjYl4
Kristen Byers	Pro-Roseanne	Tue May 29 18:08:04 +0000 2018	Randall02532901	@cspenceNY If @FOXTV doesn't pick up @therealroseanne they are crazy.
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:08:05 +0000 2018	Ram_Seaside	Apparently Roseanne is a point guard for the Houston Rockets.
Kristen Byers	Anti-Roseanne	Tue May 29 18:08:05 +0000 2018	TenneyBox	@therealroseanne I  think you're sorry you got called out on it. Just my opinion though.
Kristen Byers	Anti-Roseanne	Tue May 29 18:08:05 +0000 2018	antoniodelotero	ABC cancels 'Roseanne' after star's racist Twitter rant - it's about damn time! Bye @therealroseanne          https://t.co/heVv7Go4ks
Carmen Collins	Pro-Roseanne	Tue May 29 18:08:05 +0000 2018	Genki_Rocket	Talk about your double standards, lib entertainers can shoot or decapitate Trump in effigy. Sarah Sanders, Trump's... https://t.co/Y31sYC7zqr
Carmen Collins	Unclear/Unrelated	Tue May 29 18:08:05 +0000 2018	newsfoxlive	When you could've had a successful second season of a revived 'Roseanne' and all you had to do was not be a racist... https://t.co/T5Q9AbBdKO
Kristen Byers	Unclear/Unrelated	Tue May 29 18:08:06 +0000 2018	tvThirdEyeF	FOXNEWS 11:06am . ABC: ROSEANNE'S COMMENT WAS 'ABHORRENT,. . EDI IGMAMT AND IMf'nMCICTFMT \\AIITI-l nl ID \\IAI I IFC' ABC:...
Carmen Collins	Anti-Roseanne	Tue May 29 18:08:06 +0000 2018	shelmh	@therealroseanne Nah nah nah nah, hey hey hey...  Adios
Sigfried Gold	Anti-Roseanne	Tue May 29 18:08:06 +0000 2018	okayplayer	@therealroseanne But your corporate sponsor doesn't. Bye racist! They should've never given you a platform again. https://t.co/mTEIOGNWcA
Sarah Jackson	Anti-Roseanne	Tue May 29 18:08:06 +0000 2018	Movanation	Never watched one episode of the old or the new!!! But karma is a bitch I guess Roseanne!  https://t.co/MTJVBU0xQk
Sarah Jackson	Anti-Roseanne	Tue May 29 18:08:06 +0000 2018	geekmentality	I'm glad they canceled Roseanne. She's annoying as hell and that show was shit anyways https://t.co/fvtYuSq1GI
Sarah Jackson	Neutral	Tue May 29 18:08:07 +0000 2018	MonsChris	ABC drops Roseanne show after racist tweet https://t.co/JlsQtZq9KG
Michael Joseph, III	Neutral	Tue May 29 18:08:07 +0000 2018	RiveraGrrl	How bout that - 'Roseanne' Canceled at ABC https://t.co/EPAgVIdnCg via @variety
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:08:07 +0000 2018	dulangme	Roseanne' Canceled By ABC Following Backlash Over Star's Racist Tweets. This is what JUSTICE looks like!... https://t.co/8nAvztWjRR
Kristen Byers	Anti-Roseanne	Tue May 29 18:08:08 +0000 2018	fernhilldammit	Wonder how many ordinary people racist Roseanne put out of work.
Carmen Collins	Pro-Roseanne	Tue May 29 18:08:08 +0000 2018	MarlaWeezie	@therealroseanne @PatriotsSoapbox  https://t.co/O2e13kbQ5q Please visit us, Roseanne!! We would truly appreciate it!
Sigfried Gold	Anti-Roseanne	Tue May 29 18:08:08 +0000 2018	salmrizza	@Chadwick_Moore @therealroseanne While I'm no fan of VJ, I found the comment from Barr ugly.  Great point about employers though
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:08:09 +0000 2018	lholi	@chrisb_writer @andygh26 @Milliron681 @soonerrick @debralynnsmith3 @therealroseanne She is a crook
Carmen Collins	Pro-Roseanne	Tue May 29 18:08:09 +0000 2018	newocj	Roseanne cancelled for repugnant comments .... likely just before cancellation for repugnant ratings
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:08:10 +0000 2018	PBeotch	Congress needs to follow suit with @ABCNetwork canceling Roseanne and cancel @realDonaldTrump's presidency.
Aditya Bhat	Neutral	Tue May 29 18:08:10 +0000 2018	Sara_Kurt3	ABC cancels 'Roseanne' following Roseanne Barr's racially-charged tweet - https://t.co/nWib9vyVVl https://t.co/wXvJq3RasW
Kristen Byers	Neutral	Tue May 29 18:08:10 +0000 2018	Thraggon	Roseanne canceled?!  Sorry @Dansgaming I know you enjoyed it
Carmen Collins	Unclear/Unrelated	Tue May 29 18:08:10 +0000 2018	kill_biil	@ColorMeRed @magnificenthack @ABCNetwork @therealroseanne Your values are racism?
Sarah Jackson	Unclear/Unrelated	Tue May 29 18:08:10 +0000 2018	maxieyogi	what did roseanne do?
Sarah Jackson	Anti-Roseanne	Tue May 29 18:08:10 +0000 2018	lindasrussell	@undhockeyfan @thenatureboiiii @ryanfeinberg407 @therealroseanne Not everyone that watches agrees with what she sai... https://t.co/bP8PeaY2bj
Carmen Collins	Anti-Roseanne	Tue May 29 18:08:12 +0000 2018	maladamus	HI MY NAME IS ROSEANNE BARR AND THIS IS JACKASS
Suzanne Garcia	Neutral	Tue May 29 18:08:12 +0000 2018	BAnderson1939	bawww @therealroseanne has been cancelled      https://t.co/zmT5HTmRJm
Suzanne Garcia	Pro-Roseanne	Tue May 29 18:08:12 +0000 2018	TubbyEmu	The left can call for the murder of Trump, April Ryan can tweet a lie about Trump putting children in cages.  But R... https://t.co/ZCVgXTf5DR
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:08:12 +0000 2018	RottenClinton1	@therealroseanne Good. Racist troll
Sigfried Gold	Anti-Roseanne	Tue May 29 18:08:13 +0000 2018	filmmichaelcOX	I'm glad that ABC didn't sit by (too long, though it did take a minute) and let Roseanne continue with this abhorrent behavior!
Sarah Jackson	Unclear/Unrelated	Tue May 29 18:08:13 +0000 2018	StuOld	@BarristerSecret As you got Roseanne cancelled, can you also get Mrs Brown's Boys cancelled too? Much obliged.
Carmen Collins	Neutral	Tue May 29 18:08:14 +0000 2018	andrew_stow	Roseanne Barr's Offensive Tweet About Valerie Jarrett Triggers Wanda Sykes' Exit From Roseanne   https://t.co/QNFohD4s34
Carmen Collins	Unclear/Unrelated	Tue May 29 18:08:14 +0000 2018	avdo69	@therealroseanne Hello Ms Barr. We might not agree on every thing in the world, but I would like to advise you: Do... https://t.co/Nq0ODYiCp7
Suzanne Garcia	Unclear/Unrelated	Tue May 29 18:08:14 +0000 2018	SangHeffa	@DanaPerino didn't someone refer to @POTUS mouth as Putin's cock holster and didn't some1 threaten @FLOTUS with pim... https://t.co/U3L0Ph2KKY
Sigfried Gold	Anti-Roseanne	Tue May 29 18:08:14 +0000 2018	Wyldwurm	I always just assumed Roseanne would be canceled because it wasn't funny.
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:08:14 +0000 2018	JOMalley2008	@CalebJHull Actually, yes she does these days, thanks to the rise of Donald Trump. You can delude yourself all you... https://t.co/luKLbDc1W2
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:08:14 +0000 2018	NateMBeltran	whataboutism
Aditya Bhat	Anti-Roseanne	Tue May 29 18:08:15 +0000 2018	nylgk	I certainly hope no other network picks up @therealroseanne . We wouldn't want any other network telling America th... https://t.co/iJxbtQZzNl
Carmen Collins	Anti-Roseanne	Tue May 29 18:08:15 +0000 2018	_EricEpic_	Thank you @ABCNetwork for taking a stand against @therealroseanne and her beyond reprehensible tweets. Finally a line drawn. BRAVO!
Carmen Collins	Unclear/Unrelated	Tue May 29 18:08:15 +0000 2018	AndrejNkv	@NowImNothing_ @ABCNetwork @therealroseanne needs some Plexaderm.
Carmen Collins	Anti-Roseanne	Tue May 29 18:08:15 +0000 2018	NaturalQueen_AB	@mitchellvii @therealroseanne You mean like Trump telling the NFL to make its players stand during the national ant... https://t.co/YxvBHkF933
